;Simbolico pasaportes

I0.0;S900; EMERGENCIA ARMARIO ACTUADA

I0.1;K911D;EMERGENCIA OK

I0.2;K912B;MANDO CONECTADO

I0.3;F214;24VCC COMPAX 3

I0.4;F710;TERMICO MOTOR EJE X

I0.5;F711;TERMICO MOTOR EJE Y

I0.6;Q730;TÉRMICO MOTOR MESA AGRUPADO

I0.7;Q731;TÉRMICO MOTOR BANDA FAJADO

I1.0;S930;PERMISO PUERTA IZQUIERDA

I1.1;S931;REARME PUERTA IZQUIERDA

I1.2;A610_S901;CONEXION MANDO

I1.3;A610_S900;EMERGENCIA PANEL MANDO

I1.4;A610_S902;DESCONEXION MANDO

I1.5;A610_S932;REARME PUERTA DERECHA

I1.6;A610_S933;PERMISO PUERTA DERECHA

I1.7;Q732;TÉRMICO MOTOR BANDA SALIDA

I2.0;A900_S900;EMERGENCIA 1

I2.1;A901_S900;EMERGENCIA 2

I2.2;A902_S900;EMERGENCIA 3

I2.3;Input2.3;Input2.3

I2.4;B981A;PUERTA PROTECCION CASILLERO IZQ

I2.5;B981B;PUERTA IZQUIERDA ENCLAVADA

I2.6;B982A;PUERTA PROTECCION CASILLERO DCH

I2.7;B982B;PUERTA DERECHA ENCLAVADA

I3.0;B983;PUERTA PROTECCION POSTERIOR

I3.1;Input3.1;Input3.1

I3.2;Input3.2;Input3.2

I3.3;Input3.3;Input3.3

I3.4;Input3.4;Input3.4

I3.5;Input3.5;Input3.5

I3.6;E_A010_X1_X1;PRESENCIA AIRE

I3.7;Input3.7;Input3.7

I4.0;B303A_010;CILINDRO EMPUJADOR PINZA TRABAJO

I4.1;B303B_010;CILINDRO EMPUJADOR PINZA REPOSO

I4.2;B401B;CILINDRO PINZA CERRADA

I4.3;B501;CILINDRO GIRO PINZA TRABAJO

I4.4;B502;CILINDRO GIRO PINZA REPOSO

I4.5;B503;CILINDRO GIRO PINZA POS. INTERMEDIA

I4.6;B401A;CILINDRO PINZA ABIERTA

I4.7;Input4.7;Input4.7

I5.0;Input5.0;Input5.0

I5.1;Input5.1;Input5.1

I5.2;Input5.2;Input5.2

I5.3;Input5.3;Input5.3

I5.4;Input5.4;Input5.4

I5.5;Input5.5;Input5.5

I5.6;Input5.6;Input5.6

I5.7;Input5.7;Input5.7

I6.0;Input6.0;Input6.0

I6.1;Input6.1;Input6.1

I6.2;Input6.2;Input6.2

I6.3;Input6.3;Input6.3

I6.4;Input6.4;Input6.4

I6.5;Input6.5;Input6.5

I6.6;Input6.6;Input6.6

I6.7;Input6.7;Input6.7

I7.0;Input7.0;Input7.0

I7.1;Input7.1;Input7.1

I7.2;Input7.2;Input7.2

I7.3;Input7.3;Input7.3

I7.4;Input7.4;Input7.4

I7.5;Input7.5;Input7.5

I7.6;Input7.6;Input7.6

I7.7;Input7.7;Input7.7

I8.0;Input8.0;Input8.0

I8.1;Input8.1;Input8.1

I8.2;Input8.2;Input8.2

I8.3;Input8.3;Input8.3

I8.4;Input8.4;Input8.4

I8.5;Input8.5;Input8.5

I8.6;Input8.6;Input8.6

I8.7;Input8.7;Input8.7

I9.0;Input9.0;Input9.0

I9.1;Input9.1;Input9.1

I9.2;Input9.2;Input9.2

I9.3;Input9.3;Input9.3

I9.4;Input9.4;Input9.4

I9.5;Input9.5;Input9.5

I9.6;Input9.6;Input9.6

I9.7;Input9.7;Input9.7

I10.0;Input10.0;Input10.0

I10.1;Input10.1;Input10.1

I10.2;Input10.2;Input10.2

I10.3;Input10.3;Input10.3

I10.4;Input10.4;Input10.4

I10.5;Input10.5;Input10.5

I10.6;Input10.6;Input10.6

I10.7;Input10.7;Input10.7

I11.0;Input11.0;Input11.0

I11.1;Input11.1;Input11.1

I11.2;Input11.2;Input11.2

I11.3;Input11.3;Input11.3

I11.4;Input11.4;Input11.4

I11.5;Input11.5;Input11.5

I11.6;Input11.6;Input11.6

I11.7;Input11.7;Input11.7

I12.0;Input12.0;Input12.0

I12.1;Input12.1;Input12.1

I12.2;Input12.2;Input12.2

I12.3;Input12.3;Input12.3

I12.4;Input12.4;Input12.4

I12.5;Input12.5;Input12.5

I12.6;Input12.6;Input12.6

I12.7;Input12.7;Input12.7

I13.0;Input13.0;Input13.0

I13.1;Input13.1;Input13.1

I13.2;Input13.2;Input13.2

I13.3;Input13.3;Input13.3

I13.4;Input13.4;Input13.4

I13.5;Input13.5;Input13.5

I13.6;Input13.6;Input13.6

I13.7;Input13.7;Input13.7

I14.0;Input14.0;Input14.0

I14.1;Input14.1;Input14.1

I14.2;Input14.2;Input14.2

I14.3;Input14.3;Input14.3

I14.4;Input14.4;Input14.4

I14.5;Input14.5;Input14.5

I14.6;Input14.6;Input14.6

I14.7;Input14.7;Input14.7

I15.0;Input15.0;Input15.0

I15.1;Input15.1;Input15.1

I15.2;Input15.2;Input15.2

I15.3;Input15.3;Input15.3

I15.4;Input15.4;Input15.4

I15.5;Input15.5;Input15.5

I15.6;Input15.6;Input15.6

I15.7;Input15.7;Input15.7

I16.0;Input16.0;Input16.0

I16.1;Input16.1;Input16.1

I16.2;Input16.2;Input16.2

I16.3;Input16.3;Input16.3

I16.4;Input16.4;Input16.4

I16.5;Input16.5;Input16.5

I16.6;Input16.6;Input16.6

I16.7;Input16.7;Input16.7

I17.0;Input17.0;Input17.0

I17.1;Input17.1;Input17.1

I17.2;Input17.2;Input17.2

I17.3;Input17.3;Input17.3

I17.4;Input17.4;Input17.4

I17.5;Input17.5;Input17.5

I17.6;Input17.6;Input17.6

I17.7;Input17.7;Input17.7

I18.0;Input18.0;Input18.0

I18.1;Input18.1;Input18.1

I18.2;Input18.2;Input18.2

